section,location,claim_text,type,status,severity,notes
abstract,main.tex:103,"Mann-Whitney U, all pairwise p > 0.50",empirical,incorrect,serious,"WP2_FIX_mannwhitney.csv shows only 3/6 pairs have p>0.50 (Total-NL p=0.9788, Total-LA p=0.9129, NL-LA p=0.9305). Three pairs have p<0.20: Total-LD p=0.1396, NL-LD p=0.1899, LA-LD p=0.1786. Correct claim: 'all pairwise p > 0.05; three of six pairs p > 0.50'."
introduction,introduction.tex:5,"RNPDNO documents over 132,000 persons whose whereabouts remain unknown",empirical,unverified,trivial,Administrative total from RNPDNO; plausible but not independently verified in this audit.
introduction,introduction.tex:6,"In April 2026, the UN Committee on Enforced Disappearances (CED) issued its first referral to the General Assembly under Article 34",empirical,qualified,moderate,"The bib entry CED_MEX_art34_2026 notes 'Adopted at the 29th and 30th sessions (September 2025 and March 2026)'. If adopted March 2026, the April 2026 date in the text may refer to publication/release rather than adoption, but the distinction is not explained. Should clarify whether 'issued' means adopted, published, or transmitted."
introduction,introduction.tex:38,"between 2006 and 2017, only 19 of 732 disappearance investigations reached court, with just 9 convictions",empirical,unverified,moderate,Attributed to garcia_castillo_2024 and guevara_bermudez_2018. Numbers are precise enough to be verifiable but were not cross-checked in this audit. Reviewer may request primary source verification.
introduction,introduction.tex:17,"Mexican cartels employ 160,000 to 185,000 members, sustained by recruiting 350 to 370 persons per week",literature,unverified,trivial,Attributed to prieto_curiel_2023. This is a literature claim; not independently verified here.
results_clustering,results_clustering.tex:58,"municipal populations of HH sets do not differ significantly across outcome statuses (Mann-Whitney U, all pairwise p > 0.50)",empirical,incorrect,serious,"Repeated abstract error. WP2_FIX_mannwhitney.csv: only 3/6 pairs exceed p=0.50. Pairs with p<0.50: Total-LD p=0.1396, NL-LD p=0.1899, LA-LD p=0.1786. All are non-significant (all p>0.05), but the specific threshold p>0.50 is wrong for half the pairs."
results_clustering,results_clustering.tex:54-57,"NL<->LD = 0.143, LA<->LD = 0.151, NL<->LA = 0.381, Total<->LA = 0.674",empirical,unverified,trivial,Jaccard values not independently re-computed in WP2/WP3 audits. Plausible given LISA output structure. Mark for WP4 spatial verification.
results_clustering,results_clustering.tex:22-24,"Global Moran's I: Total mean=0.199, Located Alive mean=0.187, Not Located mean=0.163, Located Dead mean=0.101",empirical,unverified,trivial,Descriptive statistics from LISA runs; not independently recomputed in this audit.
results_temporal,results_temporal.tex:8,"Table reports OLS trend slopes (Newey-West HAC standard errors, bandwidth = 12)",empirical,incorrect,serious,"WP2_FIX_diagnosis.md confirms that Table 6 stars use OLS p-values, not HAC p-values, despite the caption. BFS+HAC re-computation changes stars for 7/24 cells: Norte-Occ total (***->**), Centro-Norte total (***->*), Bajio total (*->ns), Norte-Occ nl (***->**), Centro-Norte nl (***->**), Bajio la (**->ns), Bajio ld (*->ns). Caption says HAC but computation used OLS. Disclosure mismatch."
results_temporal,results_temporal.tex:15,Not Located HH municipalities in Centro grew at +4.96 municipalities per year (p < 0.001),empirical,verified,trivial,"WP2_table5_regional_trends.csv: slope=4.962, p=0.0. BFS slope=4.941, HAC p=0.0 (***). Minor rounding 4.96->4.941, both round to 4.96."
results_temporal,results_temporal.tex:16,"Centro Total +3.43 (p<0.001), Located Alive +3.63 (p<0.001), Located Dead +1.26 (p<0.001)",empirical,qualified,trivial,"BFS slopes: Total=0.958 — wait, Centro: Total BFS=3.398 (ms=3.43, rounding ok), LA BFS=3.489 (ms=3.63 — 0.14 discrepancy), LD BFS=0.955 (ms=1.26 — 0.3 discrepancy). LA and LD show small but non-trivial differences between WP2 raw-LISA slopes and BFS-filtered slopes. All remain *** under HAC."
results_temporal,results_temporal.tex:34,"Norte: Total +0.62 (p=0.014), Not Located +0.59 (p=0.002), Located Alive +1.06 (p<0.001), Located Dead +0.78 (p<0.001)",empirical,qualified,moderate,"Slopes in text are from WP2 raw-LISA; BFS-filtered values differ: Total BFS=0.958 (ms=0.62), NL BFS=0.659 (ms=0.59, rounding ok), LA BFS=1.285 (ms=1.06 — 0.23 discrepancy), LD BFS=0.742 (ms=0.78 — 0.01 discrepancy). p=0.014 for Total: BFS HAC p=0.0000 (***). Stars: Table 6 shows Norte Total as *** but BFS HAC gives *** (p=0.0). Table 6 shows Norte NL as *** but WP2_stored gives ** (p=0.0022) and BFS HAC also ***. Norte LA: ms states p<0.001 — BFS HAC confirms ***. Norte LD: ms states p<0.001 — BFS HAC confirms ***. Main issues: LA slope 1.06 vs BFS 1.285; total slope stated 0.62 matches WP2 stored but BFS gives 0.958."
results_temporal,results_temporal.tex:42,"Bajio structural break F=78.13, p<0.001 at February 2017",empirical,qualified,moderate,"WP3_t33_supwald.csv trimmed_15pct_85pct grid: max F=78.125 at break_idx=24, year=2017, month=1 (JANUARY 2017). February 2017 (break_idx=25) gives F=77.720. Date encoding: yr=2015+(k+1)//12; mo=((k+1)%12) or 12. For k=24: yr=2017, mo=1 = January 2017. Manuscript says 'February 2017' but Supremum Wald peak is January 2017. WP3 script logged this as QUAL. F=78.13 rounds correctly from 78.125. Required correction: change 'February 2017' to 'January 2017'."
results_temporal,results_temporal.tex:43,pre-break HH municipalities declining (beta_1 = -8.82 municipalities/year),empirical,qualified,trivial,WP2_FIX_bajio_piecewise.csv: pre-break slope=-8.599/yr (ms=-8.82). Difference of 0.22; both are clearly large negative slopes. Minor rounding/model-setup difference.
results_temporal,results_temporal.tex:44,post-2017 corridor expansion beta_2 = +0.47/yr (p=0.046),empirical,qualified,serious,"WP2_FIX_bajio_piecewise.csv: post slope=0.477, OLS p=0.0001 (*), HAC p=0.0539 (ns). Manuscript reports p=0.046 matching OLS. However HAC p=0.054 which is NOT significant at 0.05. Given the table caption claims HAC SEs, the post-2017 expansion result is marginal (ns under HAC). The p=0.046 in text is from OLS, inconsistent with stated method."
results_temporal,results_temporal.tex:44,Not Located post-2017 +0.50/yr (p<0.001),empirical,verified,trivial,"WP2_FIX_bajio_piecewise.csv nl full-period: slope=0.501, HAC p=0.001 (**). Manuscript reports *** (p<0.001) but HAC gives p=0.001 -> **. Minor stars discrepancy in table."
results_temporal,results_temporal.tex:45,Located Dead +0.15/yr (p=0.046),empirical,qualified,serious,"WP2_FIX_bajio_piecewise.csv: LD full-period OLS p=0.0119, HAC p=0.1808 (ns). p=0.046 in text is OLS. HAC gives ns. Inconsistent with HAC caption."
results_temporal,results_temporal.tex:45,Located Alive declines -0.35/yr (p=0.003),empirical,qualified,serious,"WP2_FIX_bajio_piecewise.csv: LA OLS p=0.0085 (**), HAC p=0.4328 (ns). p=0.003 in text is OLS. HAC gives ns (p=0.433). Inconsistent with HAC caption."
results_temporal,results_temporal.tex:46,Total corridor slope -0.31/yr (p=0.041),empirical,qualified,serious,"WP2_FIX_bajio_piecewise.csv: Total OLS p=0.0143 (*), HAC p=0.4696 (ns). p=0.041 in text is OLS. HAC gives ns (p=0.470). Inconsistent with HAC caption. Table 6 shows Bajio Total as -0.31*; BFS HAC gives ns. SERIOUS star inflation."
results_ced,results_ced.tex:17,"Guanajuato Located Alive is declining (-0.57/yr, p < 0.001)",empirical,incorrect,serious,"WP2_FIX_ced_guanajuato.csv: slope=-0.566/yr, HAC p=0.3999 (ns), OLS p=0.0028 (**). NEITHER HAC nor OLS gives p<0.001. HAC is entirely non-significant (p=0.40). OLS gives p=0.003 (**), still not p<0.001. The p<0.001 claim is wrong under both methods. The slope magnitude (-0.566 vs -0.57) is acceptably close."
results_ced,results_ced.tex:14,"Estado de Mexico: Not Located +2.36/yr (p<0.001), Located Alive +1.81/yr (p<0.001)",empirical,unverified,trivial,State-level CED slopes not re-computed in WP2/WP3 audits. Plausible.
results_ced,results_ced.tex:15,"Nuevo Leon: Located Alive +1.34/yr (p<0.001), Located Dead +0.80/yr (p<0.001)",empirical,unverified,trivial,State-level NL slopes not re-computed in WP2/WP3 audits. Plausible.
results_ced,results_ced.tex:20,"Jalisco: 3,825 persons in 2021 to 216 in 2024 (94% decline); municipalities 103 to 41",empirical,unverified,moderate,"Specific registry counts not re-verified in this audit. The 94% claim is consistent with 216/3825=0.056, i.e., a 94.4% decline. Arithmetic is correct. Source data not independently re-queried."
discussion,discussion.tex:20,Centro's Not Located expanding at +4.96 municipalities per year (p < 0.001),empirical,verified,trivial,Matches WP2 stored value and BFS slope=4.941. HAC p=0.0 (***). Correct.
discussion,discussion.tex:23,Fourth competing hypotheses may explain this pattern,hypothesis,incorrect,moderate,"TYPO: 'Fourth' should be 'Four'. The sentence lists four hypotheses (first, second, third, and 'Last'). The word 'Fourth' is a typo for 'Four'."
